operator,post_id,message,created_time,comments,likes,love,haha,sad,angry
gp,1603133159764398_1603263959751318,http://thebangladeshtoday.com/bangla/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B9%E0%A6%95-%E0%A6%B9%E0%A7%9F%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%B0-%E0%A6%B6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%B7%E0%A7%87-%E0%A6%97%E0%A7%8D/,2018-02-22T16:29:46+0000,0,1,0,1,0,0
gp,1603133159764398_1608078595936521,GP সিম 4G করলে কোন টাকা লাগবে কিনা.,2018-02-27T10:13:30+0000,0,0,0,0,0,0
gp,1603133159764398_1608888195855561,ভাই আগে সারা দেশে 3G available করেন?,2018-02-28T04:34:27+0000,0,0,0,0,0,0
gp,1603133159764398_1608889292522118,3G ই দিতে পারলেন না  ঠিক মত আবার 4G hahahaaaa,2018-02-28T04:36:00+0000,0,0,0,0,0,0
gp,1603133159764398_1610429409034773,bondo simer offer ki????,2018-03-01T17:04:13+0000,0,0,0,0,0,0
gp,1603133159764398_1612883058789408,2ta Reg Korci Dekase 4ta Sala Baki Duta Kar . Ar Ta Bondho Korbo Ki Kore . Ar Atar Jonno Somyar Mullo Dibe Tor Bap ? Tara Tari Bol,2018-03-04T02:08:10+0000,0,0,0,0,0,0
gp,121148644629531_1602937136450667,গ্রামীণফোন WE T1 ফোরজি স্মার্টফোন ৪৪৪৪টাকা    এবং ৪জিবি +১২ জিবি ইন্টারনেট ফ্রি! https://goo.gl/a9WNrU,2018-02-22T10:30:14+0000,2,134,2,2,0,0
gp,1602937136450667_1602962743114773,datails,2018-02-22T10:35:24+0000,0,2,0,0,0,0
gp,1602937136450667_1605218252889222,Plzz phonta kothay pabo bolen,2018-02-24T13:47:41+0000,0,0,0,0,0,0
gp,121148644629531_1602935273117520,গ্রামীণফোন Micromax Canvas 1 ফোরজি স্মার্টফোন ৭৫৯৯টাকা  এবং ৪জিবি +১২ জিবি ইন্টারনেট ফ্রি! https://goo.gl/KLUZ8B,2018-02-22T10:20:08+0000,2,92,2,1,0,0
gp,1602935273117520_1602954859782228,বিস্তারিত জানান,2018-02-22T10:23:58+0000,0,0,0,0,0,0
gp,1602935273117520_1612258848851829,01732965402 ai sim ar Internet offer ki???,2018-03-03T12:30:06+0000,0,0,0,0,0,0
gp,121148644629531_1600865036657877,গ্রামীণফোন 4G সিম রিপ্লেসে ফ্রি 1.5GB ইন্টারনেট! গ্রামীণফোন সেন্টারে থেকে 4G Ready সিম নিয়ে নিন! 4G Ready সিম কিনা চেক করুন https://goo.gl/GwfbNU,2018-02-20T11:00:20+0000,36,225,1,5,0,0
gp,1600865036657877_1600918653319182,ধান্দাবাজী ৩ জি পাই না  ৪ জি ভাল ই ৷ পাইকারী হারে চুরি ?,2018-02-20T11:01:54+0000,0,2,0,0,0,0
gp,1600865036657877_1600920193319028,চার্জ লাগবে কি?,2018-02-20T11:04:15+0000,0,0,0,0,0,0
gp,1600865036657877_1600921693318878,যেখানে 3Gপাই না সেখানে 4G,2018-02-20T11:07:12+0000,0,2,0,0,0,0
gp,1600865036657877_1600923466652034,#আরকত,2018-02-20T11:07:56+0000,0,0,0,0,0,0
gp,1600865036657877_1600925453318502,যেখানে 3Gপাই না সেখানে 4G,2018-02-20T11:10:38+0000,0,0,0,0,0,0
gp,1600865036657877_1600930876651293,4G নাই mb দিয়া কি করব,2018-02-20T11:14:03+0000,0,0,0,0,0,0
gp,1600865036657877_1600933069984407,৪ জি সিম কি কোন চাজ ছাড়াই পাওয়া যাবে,2018-02-20T11:16:07+0000,0,1,0,0,0,0
gp,1600865036657877_1600936003317447,দয়া করে দেশের প্রত্যকটা জায়গাই আপানাদের নেটওয়ার্ক শক্তিশালী করুন আর ইন্টারনেটের দামটা যেন সবার নাগালের মধ্যে থাকে এই দিক টাও মাথায় রাখবেন আশা করি......,2018-02-20T11:21:22+0000,0,0,0,0,0,0
gp,1600865036657877_1600952316649149,Aiii gp vai e ra... New 4g sim kinbo . Kbe theke pabo tai bolen ??? Hudai replace r replace krtesen...😳😠😠😠,2018-02-20T11:44:48+0000,0,0,0,0,0,0
gp,1600865036657877_1600963566648024,Dear grameenphone; 4g sim replace korsi ekdom onek age; bt 1.5 gb er kono offer to pelam na; amar ki abar 4g sim nite hbe?,2018-02-20T12:00:30+0000,0,0,0,0,0,0
gp,1600865036657877_1600963619981352,মিরপুর ১০ নম্বরে পাইনি এখনো।,2018-02-20T12:00:34+0000,0,0,0,0,0,0
gp,1600865036657877_1600989966645384,Ami grameen flaxiload sim kivabe pabo,2018-02-20T12:35:58+0000,0,0,0,0,0,0
gp,1600865036657877_1601010979976616,ভালোমত 4G না আসার আগপর্যন্ত সিম রিপ্লেস করবোনা,2018-02-20T13:04:39+0000,0,0,0,0,0,0
gp,1600865036657877_1601011053309942,sim replies ke free nake,2018-02-20T13:04:47+0000,0,0,0,0,0,0
gp,1600865036657877_1601012799976434,taka lagbe ki,2018-02-20T13:06:25+0000,0,0,0,0,0,0
gp,1600865036657877_1601062596638121,আমি প্রায় ২ মাস আগে সিম রিপ্লেস করেছি। এখন আমি কি ১.৫ জিবি পাব 4G???,2018-02-20T13:59:50+0000,0,0,0,0,0,0
gp,1600865036657877_1601065429971171,sim replace ki free?,2018-02-20T14:02:52+0000,0,0,0,0,0,0
gp,1600865036657877_1601143489963365,আমার সিম টা যাকে দিয়ে রেজিস্টেন করা সে দেশে না।  আমি কি করে রিপ্লেস  করব..........? আমাকে জানাবেন,2018-02-20T15:22:36+0000,0,0,0,0,0,0
gp,1600865036657877_1601145126629868,ami kivaba replas korbo,2018-02-20T15:25:04+0000,0,0,0,0,0,0
gp,1600865036657877_1601208243290223,grameenphone gram-gonja network deta Parana. Kata bolta parina. 2g  3g  4g deya r ke hoba?,2018-02-20T16:23:02+0000,0,0,0,0,0,0
gp,1600865036657877_1601208289956885,grameenphone gram-gonja network deta Parana. Kata bolta parina. 2g  3g  4g deya r ke hoba?,2018-02-20T16:23:05+0000,0,0,0,0,0,0
gp,1600865036657877_1601257356618645,*121*4444#dial kre 4G 4GB message ashce  kintu net use hcce na kano,2018-02-20T17:22:23+0000,3,1,0,0,1,0
gp,1600865036657877_1601270413284006,Vai amaro eki obostha.....,2018-02-20T17:41:20+0000,0,0,0,0,1,0
gp,1600865036657877_1602286796515701,ata dial korle to kisui ase na,2018-02-21T17:07:30+0000,0,0,0,0,0,0
gp,1600865036657877_1602287629848951,4g ki porono mobile a asbe na? 4g ar jonno ki new mobile kinte hobe?,2018-02-21T17:08:50+0000,0,0,0,0,0,0
gp,1600865036657877_1601709603240087,sim replacement korte ki ki lagbe???,2018-02-21T04:35:59+0000,0,0,0,0,0,0
gp,1600865036657877_1601862969891417,replace korte tk110  r jekhono minute or internet pack tk104 taile khoros tk 214 valoi paicen,2018-02-21T07:59:13+0000,0,0,0,0,0,0
gp,1600865036657877_1601895969888117,hate goona koekjon k dissen bt aigulo nijer mot onujayi dissen,2018-02-21T08:24:41+0000,0,0,0,0,0,0
gp,1600865036657877_1602090596535321,moner moto number dite parben?,2018-02-21T13:14:06+0000,0,0,0,0,0,0
gp,1600865036657877_1602303996513981,4g নেটওয়াক এলাকায় আছি কিনা জানবো কি ভাবে,2018-02-21T17:31:41+0000,0,0,0,0,0,0
gp,1600865036657877_1602753369802377,বাটপারি বন্ধ করুন,2018-02-22T04:52:48+0000,0,0,0,0,0,0
gp,1600865036657877_1602776409800073,কত টাকা লাগবে?,2018-02-22T05:18:33+0000,0,0,0,0,0,0
gp,1600865036657877_1602868646457516,প্রতিদিন 1.40 টাকা কেটে নাই বন্ধ করতে চাই,2018-02-22T07:53:25+0000,0,0,0,0,0,0
gp,1600865036657877_1604226266321754,*121*4444# dial kre 4G 4GB message ashce  kintu net use hcce na kano,2018-02-23T15:30:06+0000,0,0,1,0,0,0
gp,1600865036657877_1608077745936606,GP সিম 4G করলে কোন টাকা লাগবে কিনা.,2018-02-27T10:13:08+0000,0,0,0,0,0,0
gp,1600865036657877_1608447485899632,ভাই ফিরিয়ে দিন আমার 3G ?কোথায় যেন হারিয়ে গেছে।,2018-02-27T17:44:50+0000,0,0,0,0,0,0
gp,121148644629531_1540938635983851,"গ্রামীনফোন ইন্টারনেট সম্পর্কিত চলমান অফারসমূহ ( Tap / Click on ""Continue Reading"" or ""See More"" )   ▶গ্রামীণফোন ৩১ টাকায় ২৫০MB ইন্টারনেট https://goo.gl/g1mXU8 ▶ গ্রামীণফোন ১জিবি ইন্টারনেট  ৯৪টাকা https://goo.gl/04nDn6 ▶ গ্রামীণফোন ২জিবি ইন্টারনেট ১২৯টাকায়  http://goo.gl/RLN2Pn ▶গ্রামীণফোন ৪জিবি ১৭৯ টাকায়  https://goo.gl/hFV0Fe ▶ গ্রামীণফোন ৬জিবি ২১৯টাকা https://goo.gl/1uoGK5 ****(সম্পূরক শুল্ক+ভ্যাট+সারচার্জ সহ)  ▶  এখন Grameenphone ইন্টারনেট এ ফেরত আসলেই ৯ টাকায় ১জিবি ! ৫বার নেয়া যাবে। এই অফারটি শুধু তাদের জন্য প্রযোজ্য যাদের ১০ সেপ্টেম্বর ২০১৭ থেকে GP ইন্টারনেট ব্যবহার করা হয়নি। https://goo.gl/r9hYoe  ▶  গ্রামীণফোন কয়েকটি ইন্টারনেট প্যাকে ডাটা বাড়ানো হয়েছে https://goo.gl/tN5yEd ▶ গ্রামীণফোন ১.৫ জিবি ২২৯ টাকায় মেয়াদ ২৮দিন https://goo.gl/UqMchU ▶ গ্রামীণফোন অ্যাকশন প্যাক ১জিবি ১৯৯টাকা ও ২জিবি ২৯৯টাকা (ইন্টারনেট ফেসবুক ভিডিও ও জিপি মিউজিক ডাটা) https://goo.gl/UnJ7JM ▶ গ্রামীণফোন ৫০০এমবি ২৮দিন মেয়াদ ১৪৯টাকা  https://goo.gl/u2afx6 ▶ গ্রামীণফোন 1GB Video Pack ৪৯ টাকায় https://goo.gl/sooJZ0 ▶  গ্রামীণফোন 3G ইন্টারনেট প্যাকেজ http://goo.gl/wVvyeL ▶ গ্রামীণফোন সোশ্যাল প্যাক http://goo.gl/Xz3s3s ▶ Grameenphone এখন EasyNet এর ফ্রি Internet browsing! https://goo.gl/hLpURZ  ▶ গ্রামীণফোনে WhatsApp ম্যাসেজিং করুন ২.৪৪ টাকায় https://goo.gl/jvjbwp ▶ গ্রামীনফোন নতুন সিমে ৩জিবি ফ্রি ইন্টারনেট https://goo.gl/WpehBn ▶  গ্রামীণফোনে ২টাকায় ২০এমবি ভাইবার মেসেজিং http://goo.gl/HEIY65 ▶  গ্রামীণফোন ৩২MB ইন্টারনেট Scratch Card ৯টাকা https://goo.gl/mcaozg ▶ গ্রামীণফোন ১০০এমবি  ইন্টারনেট স্ক্র্যাচ কার্ড  ১৯টাকা https://goo.gl/6vYoZX  ▶গ্রামীণফোন ৩৫এমবি ইন্টারনেট স্ক্র্যাচ কার্ড ১০টাকা https://goo.gl/3iGAfw ▶  গ্রামীণফোন ইমার্জেন্সি  ব্যালান্স https://goo.gl/U1WVwf ▶   গ্রামীণফোন ইমার্জেন্সি ইন্টারনেট ব্যালান্স ১০ এমবি ইন্টারনেট http://goo.gl/N4Iso4 ▶  গ্রামীণফোন নতুন ৩ টি ভিডিও প্যাক youtube bongobd popcornlive http://goo.gl/geQ1B1  ▶  Grameenphone Smart-Mega Plan এ ৩০ দিনের জন্য ৩ জিবি ইন্টারনেট  ৬০০ মিনিট (যেকোনো লোকাল নম্বরে) টক্ টাইম  ৬০০ টি SMS (জিপি-জিপি) এবং ৬০০ টি MMS. http://goo.gl/BnlqTB  ▶  Grameenphone Smart-Midi Plan এ ৩০ দিনের জন্য ১.৫ জিবি ইন্টারনেট  ৪০০ মিনিট (যেকোনো লোকাল নম্বরে) টক্ টাইম  ৪০০ টি SMS (জিপি-জিপি) এবং ৪০০ টি MMS http://goo.gl/alfFi2",2017-12-21T16:00:00+0000,24,111,0,2,0,0
gp,1540938635983851_1541025449308503,why so costly???,2017-12-21T16:04:27+0000,0,0,0,0,0,0
gp,1540938635983851_1541027625974952,its mb cost is high..plz make 1 month low price cost..,2017-12-21T16:08:47+0000,0,1,0,0,0,0
gp,1540938635983851_1541047842639597,gp sim'e kiso din age 9tk'e 1gb'r smd diclo bt harai flc code ta dite prben,2017-12-21T16:35:01+0000,0,0,0,0,0,0
gp,1540938635983851_1541058402638541,01737687852 আচ্ছা ভাইয়া এই নাম্বারে টাকা রিচার্জ করলে মেসেজ আসে কিন্তুু টাকা আসেনা....সমস্যা কি দয়া করে জানাবেন,2017-12-21T16:47:14+0000,0,0,0,0,0,0
gp,1540938635983851_1541065022637879,৬৯ টাকায় দুই জিবি দেওয়া যায় না ৭ দিন ১ জিবি নাইট ১ জিবি ডে নাইট,2017-12-21T16:57:29+0000,0,1,0,0,0,0
gp,1540938635983851_1541066479304400,একটা কিনলে পরেরটা ফি দরকার চিল,2017-12-21T16:58:51+0000,0,0,0,0,0,0
gp,1540938635983851_1541750592569322,GP internet speed 10~500 kb/s max,2017-12-22T13:10:36+0000,0,0,0,0,0,0
gp,1540938635983851_1541866739224374,grameenphone er customer service er number ta den..,2017-12-22T15:44:24+0000,0,0,0,0,0,0
gp,1540938635983851_1542530259158022,vai amar outgoing call barring somehow enable hoye gese.akhon disable korte chaile password chaitese kintu password ami jani na.akhon ki korbo.keu kisu janle bolben please,2017-12-23T11:13:53+0000,0,0,0,0,0,0
gp,1540938635983851_1542605842483797,আপনাদের কাসটমার কেয়ার ইর সাথে কথা বলার জন্য কোন অপসন চাপব,2017-12-23T12:23:27+0000,0,0,0,0,0,0
gp,1540938635983851_1542779639133084,ইন্টারনেট অফারগুলো সহজ শর্তে সকল সিমের জন্য প্রয়োজয্য করা উচিত।,2017-12-23T16:24:50+0000,0,0,0,0,0,0
gp,1540938635983851_1543601822384199,Today I received SMS from gp  4 GB download korle 4gb free now I download 4 GB but still I'm not received any free Mb its all most 3 hour why ???? My number is 01778369701,2017-12-24T14:26:18+0000,0,0,0,0,0,0
gp,1540938635983851_1543608575716857,Go sim diye net cholche na. Age colche kintu ekhon colena. Abar on no operatorer sim diye Cole. Somadhan ki?,2017-12-24T14:35:12+0000,0,0,0,0,0,0
gp,1540938635983851_1544658282278553,১৭ টাকায় ১ জিপি ৭ জানুয়ারি মধ্যে  এক্টিব নাম্বারটা ভুলে গেছি  দয়া করে জানাবেন কি?   ০১৭৫১৫১৯৬৮৪,2017-12-25T16:15:03+0000,0,0,0,0,0,0
gp,1540938635983851_1544669245610790,99tk ar bundle pack ar  somay kei barano Java   ,2017-12-25T16:33:13+0000,0,0,0,0,0,0
gp,1540938635983851_1545249805552734,GP offer me if I update my FlexiPlan app will give me 250mb...I updated my app but I don't get 250mb..why?,2017-12-26T09:00:43+0000,0,1,0,0,0,0
gp,1540938635983851_1545606522183729,GP er ki kono YouTube package ache??,2017-12-26T17:45:47+0000,0,0,0,0,0,0
gp,1540938635983851_1545825905495124,9 টাকার 1 জিবি অফারটা আর নেই,2017-12-26T23:50:05+0000,0,0,0,0,0,0
gp,1540938635983851_1545916828819365,9takai 1gb 5 bar aitar code din please??,2017-12-27T02:22:53+0000,0,0,0,0,0,0
gp,1540938635983851_1548905765187138,kom Takar mddhe beshi mb payar upai,2017-12-30T16:32:26+0000,0,0,0,0,0,0
gp,1540938635983851_1548906051853776,gp,2017-12-30T16:32:54+0000,0,0,0,0,0,0
gp,1540938635983851_1587701247974256,ara vaii buglam na kono comment ar reaply korsen na kano.,2018-02-07T04:18:42+0000,0,0,0,0,0,1
gp,121148644629531_1539455926132122,ঘরে বসেই এখন 3G রিপ্লেসমেন্ট করে নিয়ে নিন 4G সিম! বর্তমানে শুধু ঢাকা শহরে এ সেবা দেয়া হচ্ছে https://goo.gl/Uxhgom,2017-12-19T19:08:56+0000,3,128,1,0,0,0
gp,1539455926132122_1539752622769119,Rajshahi ta koba asbe????,2017-12-20T04:19:52+0000,0,0,0,0,0,0
gp,1539455926132122_1565531686857879,আমার সিমটি বন্ধ আছে ৬ মাস।এখন ৪ জি সিম  নিবো পারবো? micro sim লাগবে।,2018-01-16T16:25:05+0000,0,0,0,0,0,0
gp,1539455926132122_1592492107495170,কেন ভাই। ঢাকার বাইরের লোক কি অপরাধ করেছে?,2018-02-12T02:39:38+0000,0,0,0,0,0,0
gp,121148644629531_1533654446712270,"ইন্টারনেট সম্পর্কিত চলমান অফারসমূহ ( Tap / Click on ""Continue Reading"" or ""See More"" )   ▶গ্রামীণফোন ৩১ টাকায় ২৫০MB ইন্টারনেট https://goo.gl/g1mXU8 ▶ গ্রামীণফোন ১জিবি ইন্টারনেট  ৯৪টাকা https://goo.gl/04nDn6 ▶ গ্রামীণফোন ২জিবি ইন্টারনেট ১২৯টাকায়  http://goo.gl/RLN2Pn ▶গ্রামীণফোন ৪জিবি ১৭৯ টাকায়  https://goo.gl/hFV0Fe ▶ গ্রামীণফোন ৬জিবি ২১৯টাকা https://goo.gl/1uoGK5 ****(সম্পূরক শুল্ক+ভ্যাট+সারচার্জ সহ)  ▶  এখন Grameenphone ইন্টারনেট এ ফেরত আসলেই ৯ টাকায় ১জিবি ! ৫বার নেয়া যাবে। এই অফারটি শুধু তাদের জন্য প্রযোজ্য যাদের ১০ সেপ্টেম্বর ২০১৭ থেকে GP ইন্টারনেট ব্যবহার করা হয়নি। https://goo.gl/r9hYoe  ▶  গ্রামীণফোন কয়েকটি ইন্টারনেট প্যাকে ডাটা বাড়ানো হয়েছে https://goo.gl/tN5yEd ▶ গ্রামীণফোন ১.৫ জিবি ২২৯ টাকায় মেয়াদ ২৮দিন https://goo.gl/UqMchU ▶ গ্রামীণফোন অ্যাকশন প্যাক ১জিবি ১৯৯টাকা ও ২জিবি ২৯৯টাকা (ইন্টারনেট ফেসবুক ভিডিও ও জিপি মিউজিক ডাটা) https://goo.gl/UnJ7JM ▶ গ্রামীণফোন ৫০০এমবি ২৮দিন মেয়াদ ১৪৯টাকা  https://goo.gl/u2afx6 ▶ গ্রামীণফোন 1GB Video Pack ৪৯ টাকায় https://goo.gl/sooJZ0 ▶  গ্রামীণফোন 3G ইন্টারনেট প্যাকেজ http://goo.gl/wVvyeL ▶ গ্রামীণফোন সোশ্যাল প্যাক http://goo.gl/Xz3s3s ▶ Grameenphone এখন EasyNet এর ফ্রি Internet browsing! https://goo.gl/hLpURZ  ▶ গ্রামীণফোনে WhatsApp ম্যাসেজিং করুন ২.৪৪ টাকায় https://goo.gl/jvjbwp ▶ গ্রামীনফোন নতুন সিমে ৩জিবি ফ্রি ইন্টারনেট https://goo.gl/WpehBn ▶  গ্রামীণফোনে ২টাকায় ২০এমবি ভাইবার মেসেজিং http://goo.gl/HEIY65 ▶  গ্রামীণফোন ৩২MB ইন্টারনেট Scratch Card ৯টাকা https://goo.gl/mcaozg ▶ গ্রামীণফোন ১০০এমবি  ইন্টারনেট স্ক্র্যাচ কার্ড  ১৯টাকা https://goo.gl/6vYoZX  ▶গ্রামীণফোন ৩৫এমবি ইন্টারনেট স্ক্র্যাচ কার্ড ১০টাকা https://goo.gl/3iGAfw ▶  গ্রামীণফোন ইমার্জেন্সি  ব্যালান্স https://goo.gl/U1WVwf ▶   গ্রামীণফোন ইমার্জেন্সি ইন্টারনেট ব্যালান্স ১০ এমবি ইন্টারনেট http://goo.gl/N4Iso4 ▶  গ্রামীণফোন নতুন ৩ টি ভিডিও প্যাক youtube bongobd popcornlive http://goo.gl/geQ1B1  ▶  Grameenphone Smart-Mega Plan এ ৩০ দিনের জন্য ৩ জিবি ইন্টারনেট  ৬০০ মিনিট (যেকোনো লোকাল নম্বরে) টক্ টাইম  ৬০০ টি SMS (জিপি-জিপি) এবং ৬০০ টি MMS. http://goo.gl/BnlqTB  ▶  Grameenphone Smart-Midi Plan এ ৩০ দিনের জন্য ১.৫ জিবি ইন্টারনেট  ৪০০ মিনিট (যেকোনো লোকাল নম্বরে) টক্ টাইম  ৪০০ টি SMS (জিপি-জিপি) এবং ৪০০ টি MMS http://goo.gl/alfFi2",2017-12-13T14:36:36+0000,11,101,1,0,0,0
gp,1533654446712270_1533661656711549,১জিবি ১৭ টাকায়  মেয়াদ ৭দিন।ডায়াল *৫০২০*২০৯৯# কল করে পাওয়ার কথা পেলাম না কেনো?,2017-12-13T14:46:52+0000,2,2,0,0,0,0
gp,1533654446712270_1534674916610223,akana ki kono reply  paoa jay na,2017-12-14T16:32:25+0000,0,0,0,0,0,0
gp,1533654446712270_1533664083377973,?,2017-12-13T14:50:17+0000,0,1,0,0,0,0
gp,1533654446712270_1533871703357211,2gb night pack ki off korea daowa hoicaa??,2017-12-13T19:41:48+0000,0,0,0,0,0,0
gp,1533654446712270_1534523583292023,Shob ajaira offer. J lok 129 takay 2 gb tao 7 days....tara better monthly 600 taka diye wifi use kore. Tahoke gp offer ki dilo? This is not offer. Business only.,2017-12-14T13:15:26+0000,0,0,0,0,0,0
gp,1533654446712270_1534762276601487,9tk 1gb ai ta ke total 5ber e neya jabby? na ke mas a 5ber?,2017-12-14T18:36:23+0000,0,0,0,0,0,0
gp,1533654446712270_1535809863163395,gp coupon code konta,2017-12-15T18:23:41+0000,0,0,0,0,0,0
gp,1533654446712270_1537097266367988,New sim 6 bar 1GB kore 9 taka dhukale calu hobe kintu ame 1 bar pailam kano amak ki bolben plesse amar number ta 01794682159,2017-12-17T02:54:28+0000,0,0,0,0,0,0
gp,1533654446712270_1537795852964796,EMERGE Internet কি ভাবে নেব,2017-12-17T21:06:19+0000,0,0,0,0,0,0
gp,1533654446712270_1541878705889844,1GB পেতে ৩০ টাকা রিচার্জ করে কোন নাম্বারে ডায়াল করতে হবে,2017-12-22T16:01:27+0000,0,0,0,0,0,0
gp,1533654446712270_1601203813290666,একই প্যাকেজ পর পর দুইবার নিলে ফ্রি টা কিভাবে পাবো,2018-02-20T16:17:23+0000,0,0,0,0,0,0
